employee_id,age,department,years_at_company,monthly_income,job_satisfaction,performance_rating,work_life_balance,training_hours_last_year,attrition
1,28,Engineering,10,42527.46,10,3,5,6,false
2,30,Accounting,26,352240.56,5,2,4,117,false
3,29,HR,24,151071.46,8,5,4,124,false
4,42,HR,7,370394.07,6,3,1,195,false
5,31,Customer Service,6,36522.07,5,2,3,57,false
6,32,Engineering,11,382774.69,5,5,5,136,false
7,39,Engineering,16,492264.0,6,1,1,63,true
8,37,Sales,10,231784.59,10,4,4,109,true
9,47,Sales,6,126619.07,6,3,5,74,true
10,23,Customer Service,9,417702.96,8,4,5,117,false
11,42,Engineering,11,77967.88,6,1,5,83,true
12,33,Engineering,14,473203.46,5,1,5,161,false
13,22,Accounting,16,51081.85,7,4,2,14,false
14,31,Accounting,20,205091.14,8,2,1,173,true
15,46,Engineering,2,436682.29,4,5,5,160,true
16,34,Engineering,24,195168.17,9,4,2,177,false
17,40,Engineering,20,454079.4,8,2,3,106,false
18,25,Accounting,24,441618.68,5,1,1,161,true
19,45,HR,10,81846.95,9,4,4,15,true
20,28,Engineering,9,338316.08,10,1,4,22,true
21,35,Engineering,24,309330.52,3,5,3,142,true
22,29,Customer Service,27,413913.21,3,2,4,162,true
23,33,Engineering,24,229772.81,4,3,2,159,false
24,47,Sales,2,487888.72,7,5,5,3,true
25,50,Accounting,12,248736.36,2,3,5,179,true
26,29,Engineering,16,382353.67,2,1,5,186,true
27,48,Engineering,12,468593.51,5,3,3,88,false
28,26,HR,10,348692.45,4,5,1,153,false
29,34,Engineering,22,36025.26,6,5,5,26,true
30,41,Sales,8,351796.87,4,5,3,192,true
31,39,Engineering,17,342399.52,1,1,4,72,false
32,33,Engineering,6,209922.07,7,5,1,8,true
33,22,Engineering,23,109362.83,9,5,1,164,false
34,35,Engineering,15,408918.48,3,3,5,70,true
35,24,Accounting,20,380538.9,3,1,2,146,true
36,31,Engineering,10,112841.86,8,5,5,19,false
37,37,Accounting,9,395466.46,8,4,3,122,false
38,50,Engineering,6,272212.71,5,3,5,6,true
39,22,Engineering,8,274527.76,2,1,1,77,true
40,32,Engineering,20,86517.65,9,1,3,19,false
41,33,Customer Service,12,173387.19,1,3,2,90,false
42,30,HR,20,81650.48,6,1,2,78,false
43,31,Accounting,7,106107.94,8,5,4,185,false
44,47,Sales,25,470690.09,7,3,3,198,false
45,33,HR,5,43893.15,10,2,1,20,false
46,43,Accounting,27,444969.82,1,2,4,16,true
47,38,HR,20,215510.58,4,4,5,30,false
48,29,Accounting,18,97850.37,3,2,4,102,true
49,35,Accounting,8,40687.51,3,5,1,197,true
50,26,Accounting,20,260581.38,3,5,5,119,true
51,43,Accounting,2,411546.37,5,3,4,122,true
52,36,Accounting,28,423278.44,8,5,2,115,true
53,48,Sales,15,41905.56,9,3,2,26,true
54,41,Sales,13,68932.32,5,5,5,78,false
55,38,Engineering,24,52144.8,1,2,2,130,true
56,30,Accounting,15,302214.4,4,5,2,133,false
57,25,Engineering,22,78999.25,5,1,2,117,true
58,40,Customer Service,27,465952.24,2,5,5,45,false
59,24,Engineering,9,451355.7,3,4,2,5,false
60,25,Customer Service,24,96967.14,2,5,1,159,false
61,39,Accounting,10,280145.16,8,2,1,159,true
62,25,Engineering,21,472091.29,6,5,1,194,true
63,23,Accounting,9,298924.67,4,5,5,6,false
64,22,Engineering,28,236658.73,7,4,1,171,true
65,35,Engineering,24,192561.0,4,3,5,48,false
66,41,Engineering,18,135455.14,10,1,5,185,true
67,50,Accounting,23,280990.64,8,4,3,115,true
68,49,Accounting,21,323889.44,5,1,2,133,false
69,47,Engineering,15,325184.51,1,2,5,55,false
70,40,Engineering,12,306208.36,8,1,2,18,false
71,49,Customer Service,10,440275.63,9,2,3,8,false
72,21,HR,20,43833.14,6,2,5,102,false
73,24,Accounting,11,196801.48,8,3,2,95,false
74,46,Accounting,8,331659.5,9,3,2,179,true
75,36,Accounting,3,281040.66,8,1,1,34,false
76,41,HR,4,232906.83,9,3,2,52,true
77,48,Engineering,8,316772.13,1,3,4,190,false
78,32,Accounting,13,455381.26,9,2,3,197,true
79,21,Customer Service,20,176224.86,5,5,2,36,false
80,29,Engineering,11,375194.7,2,1,5,105,true
81,31,Engineering,18,192607.13,10,4,1,9,true
82,41,Engineering,17,177572.05,8,5,4,179,true
83,44,Engineering,4,42126.69,9,2,2,147,false
84,27,Engineering,26,397366.62,6,1,1,66,true
85,39,Sales,17,36259.57,5,4,1,77,false
86,39,Customer Service,20,491400.51,7,4,2,28,false
87,47,Engineering,29,49710.36,6,1,4,181,true
88,36,Accounting,11,289317.74,8,3,5,155,true
89,34,Engineering,28,393881.06,4,5,3,145,false
90,31,Accounting,5,410915.91,5,4,4,28,false
91,33,Accounting,5,361259.3,1,1,3,121,false
92,50,Engineering,8,440187.18,7,5,1,154,true
93,27,Accounting,20,102485.44,10,5,2,34,false
94,40,Accounting,16,246077.62,1,1,2,128,false
95,23,Engineering,4,210816.15,3,4,3,61,false
96,23,Accounting,23,456734.78,2,5,5,181,false
97,24,Engineering,8,64033.92,9,3,4,49,true
98,29,HR,6,443263.97,5,1,5,96,false
99,31,Customer Service,9,169797.42,3,3,5,8,false
100,30,HR,13,365040.13,5,2,3,109,false
101,25,HR,17,261818.87,5,3,5,58,false
102,31,Engineering,23,421987.9,3,4,1,35,false
103,46,Engineering,18,30861.93,7,1,5,62,false
104,46,HR,10,69160.28,8,1,2,34,true
105,41,HR,8,62785.1,5,5,3,46,false
106,39,HR,11,45584.36,5,4,5,53,false
107,22,Engineering,28,423478.05,5,4,4,138,false
108,21,Accounting,17,53543.75,8,1,1,188,true
109,31,Customer Service,16,347705.4,6,2,3,70,false
110,32,Engineering,3,35336.41,8,2,5,198,true
111,34,Accounting,5,231729.88,1,3,2,126,false
112,29,Customer Service,5,33202.96,6,4,2,150,false
113,46,Sales,19,282997.92,7,5,4,38,true
114,44,Accounting,25,401294.33,7,4,4,104,true
115,48,Engineering,10,110696.4,6,5,5,121,false
116,50,Engineering,18,343931.01,1,3,4,151,false
117,38,Accounting,6,139744.92,1,3,4,105,false
118,37,Accounting,13,79873.65,3,2,1,90,false
119,27,Engineering,29,444686.74,9,5,4,22,false
120,25,Sales,12,168607.91,6,5,3,4,true
121,30,Accounting,7,429495.74,1,1,5,90,false
122,30,Engineering,15,282249.77,8,1,3,158,false
123,45,Engineering,24,227392.08,3,4,4,175,true
124,38,Accounting,6,295539.77,10,4,3,69,true
125,36,Engineering,7,331361.11,8,3,1,148,false
126,50,Accounting,23,270512.74,1,1,4,14,true
127,50,HR,26,344795.56,8,4,1,140,true
128,38,Sales,12,222712.11,10,5,5,119,true
129,24,Accounting,6,489350.61,6,5,2,84,false
